idNodo,etiqueta,tipoNodo,granoTexto,idAutoridad,fuente,capítulo,ubicación,nota
TXT0008,Capítulo VIII: Alemanas,textoLibro,capítulo,[no aplica],Mujeres de ayer y de hoy (1909),VIII,871-1127,sin encabezados de sección
TXT0009,Capítulo IX: Argentinas,textoLibro,capítulo,[no aplica],Mujeres de ayer y de hoy (1909),IX,1128-1181,sin encabezados de sección
TXT0010,Capítulo X: Peruanas,textoLibro,capítulo,[no aplica],Mujeres de ayer y de hoy (1909),X,1182-1357,sin encabezados de sección
TXT0011,La señora Avril de Sainte-Croix,textoLibro,sección,[no aplica],Mujeres de ayer y de hoy (1909),XI,1508-1523,
TXT0012,Marcelle Tinayre,textoLibro,sección,[no aplica],Mujeres de ayer y de hoy (1909),XII,1608-1629,crítica de La Maison du Péché; sin material de entrevista
TXT0015,Capítulo XV: Literatura femenina,textoLibro,capítulo,[no aplica],Mujeres de ayer y de hoy (1909),XV,1901-2030,sin encabezados de sección
PER0001,"Cáceres, Zoila Aurora, 1872-1958",persona,[no aplica],https://www.wikidata.org/wiki/Q4822525,—,—,—,confirmado
PER0002,"Lange, Helene, 1848-1930",persona,[no aplica],https://www.wikidata.org/wiki/Q75209,—,—,—,confirmado | cap. VIII: cuestionario concedido
PER0003,"Zitelmann, Katharina, 1844-1926",persona,[no aplica],https://www.wikidata.org/wiki/Q1736024,—,—,—,confirmado | cap. VIII: cuestionario concedido
PER0004,"Vely, Emma, 1848-1934",persona,[no aplica],https://www.wikidata.org/wiki/Q15452068,—,—,—,confirmado | cap. VIII: cuestionario concedido
PER0005,"Reuter, Gabriele, 1859-1941",persona,[no aplica],https://www.wikidata.org/wiki/Q99301,—,—,—,confirmado | cap. VIII: cuestionario concedido
PER0006,"Sala, Alvina van Praet de",persona,[no aplica],https://www.wikidata.org/wiki/Q95749957,—,—,—,confirmado
PER0007,"Arana, María Augusta",persona,[no aplica],[pendiente],—,—,—,identificador pendiente
PER0008,"Muñoz, Margarita Práxedes, 1862-1909",persona,[no aplica],https://www.wikidata.org/wiki/Q104777909,—,—,—,confirmado
PER0009,"Matto de Turner, Clorinda, 1852-1909",persona,[no aplica],https://www.wikidata.org/wiki/Q463299,—,—,—,confirmado
PER0010,"Margueritte, Victor, 1866-1942",persona,[no aplica],https://www.wikidata.org/wiki/Q2616465,—,—,—,confirmado
PER0011,"Paul-Margueritte, Lucie, 1886-1955",persona,[no aplica],https://www.wikidata.org/wiki/Q18195871,—,—,—,confirmado
PER0012,"Tinayre, Marcelle, 1870-1948",persona,[no aplica],https://www.wikidata.org/wiki/Q3289600,—,—,—,identificador pendiente
ORG0001,Consejo Nacional de Mujeres de la República Argentina,organización,[no aplica],[pendiente],—,—,—,identificador pendiente
ORG0002,Deutscher Frauen-Club,organización,[no aplica],[pendiente],—,—,—,identificador pendiente
ZAC-112-carta,Carta del Consejo Nacional de Mujeres de la República Argentina a Zoil,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,1904-11,carta
ZAC-220/221-carta,Carta de Alvina v. P. de Sala a Zoila Aurora Cáceres,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,1903-03-18,carta
ZAC-103-tarjeta,Tarjeta de Emma Vely,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,[no disponible],tarjeta
ZAC-109/111-carta,Copia editada de artículo sobre Helene Lange y entrevista epistolar,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,1896-01-01,carta
ZAC-014-carta,Carta de Helene Lange a Zoila Aurora Cáceres,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,1902-11-18,carta
ZAC-242-carnet,Carné de Zoila Aurora Cáceres,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,[no disponible],carné de identidad
ZAC-245/249-carta,Carta de Katharina Zitelmann [entrevista epistolar],itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,[no disponible],carta
ZAC-256/258-carta,Carta de Gabriele Reuter a Zoila Aurora Cáceres,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,[ininteligible],carta
ZAC-054/056-carta,Carta de Katharina Zitelmann a Zoila Aurora Cáceres,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,1902-10-20,carta
ZAC-107/108-tarjeta,Tarjeta de María Augusta Arana,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,1904-09-26,tarjeta
ZAC-116/117-recorte,Plumas y lápices,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,[no disponible],recorte
ZAC-121-recorte,Eva Angelina,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,[no disponible],recorte
ZAC-244-recorte,Clorinda Matto de Turner,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,[no disponible],recorte
ZAC-135/136-nota,Nota de Victor Margueritte,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,[no disponible],nota
ZAC-157/158-carta,Carta de L. Margueritte a Zoila Aurora Cáceres,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,[no disponible],carta
ZAC-210/211-carta,Carta de L. Margueritte a Zoila Aurora Cáceres,itemAlbum,[no aplica],[no aplica],Álbum ZAC 1892-1910,—,[no disponible],carta
PER0016,"Salomon, Alice, 1872-1948",persona,[no aplica],https://www.wikidata.org/wiki/Q106209,Mujeres de ayer y de hoy (1909),VIII,871-1127,cuestionario: concedida
