idNodo	etiqueta	tipoNodo	fechaNacimiento	fechaDefuncion	idWikidata	fuenteAutoridad	presenciaAlbum	presenciaLibro	capitulo	cuestionario	estadoVerificacion	nota
INS0001	Cuestionario de siete preguntas (Berlín, 1902)	instrumento	[no aplica]	[no aplica]			no	sí	VIII		identificador pendiente	
ORG0001	Consejo Nacional de Mujeres de la República Argentina	organización	[no disponible]	[no disponible]			sí	sí			identificador pendiente	probable ítem en Wikidata; verificar
ORG0002	Deutscher Frauen-Club	organización	[no disponible]	[no disponible]			sí	no directo			identificador pendiente	ZAC-242 acredita afiliación de PER0001
ORG0003	Allgemeine Deutsche Lehrerinnenverein	organización	[no aplica]	[no aplica]			no	sí	VIII		identificador pendiente	
ORG0004	Bund Deutscher Frauenvereine	organización	[no aplica]	[no aplica]	https://www.wikidata.org/wiki/Q1005015	Wikidata	no	sí	VIII		confirmado	
ORG0005	Berliner Frauenverein	organización	[no aplica]	[no aplica]			no	sí	VIII		identificador pendiente	
ORG0006	Verein Frauenwohl	organización	[no aplica]	[no aplica]	https://www.wikidata.org/wiki/Q2514713	Wikidata	no	sí	VIII		confirmado	
ORG0007	Gesellschaft für ethische Kultur	organización	[no aplica]	[no aplica]			no	sí	VIII		identificador pendiente	
ORG0008	Mädchen und Frauengruppen für Soziale Hilfsarbeit	organización	[no aplica]	[no aplica]	https://www.wikidata.org/wiki/Q1630675	Wikidata	no	sí	VIII		confirmado	
ORG0009	Deutscher Verein für Frauenstimmrecht	organización	[no aplica]	[no aplica]	https://www.wikidata.org/wiki/Q1205427	Wikidata	no	sí	VIII		confirmado	
ORG0010	Schriftstellerinnenbund	organización	[no aplica]	[no aplica]			no	sí	VIII		identificador pendiente	
ORG0011	Neuer Volksschullehrerinnen-Verein	organización	[no aplica]	[no aplica]			no	sí	VIII		identificador pendiente	
ORG0012	Kaufmännischer Hilfsverein für weibliche Angestellte	organización	[no aplica]	[no aplica]			no	sí	VIII		identificador pendiente	
ORG0013	Volksküchen	organización	[no aplica]	[no aplica]			no	sí	VIII		identificador pendiente	
PER0001	Cáceres, Zoila Aurora, 1872-1958	persona	1872	1958	https://www.wikidata.org/wiki/Q4822525	Wikidata	sí	sí (autora)			confirmado	sujeto del proyecto
PER0002	Lange, Helene, 1848-1930	persona	1848	1930	https://www.wikidata.org/wiki/Q75209	Wikidata	sí	sí	VIII	concedida	confirmado	
PER0003	Zitelmann, Katharina, 1844-1926	persona	1844	1926	https://www.wikidata.org/wiki/Q1736024	Wikidata	sí	sí	VIII	concedida	confirmado	ZAC-245/249 catalogada como entrevista epistolar
PER0004	Vely, Emma, 1848-1934	persona	1848	1934	https://www.wikidata.org/wiki/Q15452068	Wikidata	sí	sí	VIII	concedida	confirmado	
PER0005	Reuter, Gabriele, 1859-1941	persona	1859	1941	https://www.wikidata.org/wiki/Q99301	Wikidata	sí	sí	VIII	concedida	confirmado	
PER0006	Sala, Alvina van Praet de	persona	[no disponible]	[no disponible]	https://www.wikidata.org/wiki/Q95749957	Wikidata	sí	sí			confirmado	vinculada a ORG0001
PER0007	Arana, María Augusta	persona	[no disponible]	[no disponible]			sí	sí			identificador pendiente	puede no tener ítem en Wikidata
PER0008	Muñoz, Margarita Práxedes, 1862-1909	persona	1862	1909	https://www.wikidata.org/wiki/Q104777909	Wikidata	sí	sí			confirmado	inversión de orden de nombres entre fuentes
PER0009	Matto de Turner, Clorinda, 1852-1909	persona	1852	1909	https://www.wikidata.org/wiki/Q463299	Wikidata	sí	sí			confirmado	presente como creadora y como sujeto
PER0010	Margueritte, Victor, 1866-1942	persona	1866	1942	https://www.wikidata.org/wiki/Q2616465	Wikidata	sí	sí			confirmado	tío de PER0011
PER0011	Paul-Margueritte, Lucie, 1886-1955	persona	1886	1955	https://www.wikidata.org/wiki/Q18195871	Wikidata	sí	sí			confirmado	firma autógrafa verificada en ZAC-157/158 y ZAC-210/211
PER0012	Tinayre, Marcelle, 1870-1948	persona	1870	1948	https://www.wikidata.org/wiki/Q3289600	Wikidata	no	sí			confirmado	sin traza material; alcanzada por intermediación de PER0011
PER0013	Paul-Margueritte, Ève, 1885-1971	persona	1885	1971			no	no			sólo desambiguación	hermana de PER0011; no atestiguada en las fuentes del proyecto
PER0014	Margueritte, Paul, 1860-1918	persona	1860	1918	https://www.wikidata.org/wiki/Q2988469	Wikidata	no	sí			confirmado	padre de PER0011, hermano de PER0010
PER0015	Salomón Osorio, Alberto, 1877-1959	persona	1877	1959			sí	no			sólo desambiguación	15 ítems en el álbum; colisiona con PER0016
PER0016	Salomon, Alice, 1872-1948	persona	1872	1948	https://www.wikidata.org/wiki/Q106209	Wikidata	no	sí	VIII	concedida	confirmado	feminista alemana citada en cap. VIII
PER0017	Pérez García, Darío, 1869-1945	persona	1869	1945			sí	no			sólo desambiguación	colisiona con PER0018
PER0018	García, Elvira	persona	[no disponible]	[no disponible]			no	sí			sólo desambiguación	educadora peruana citada en cap. X
PER0019	Pardo y Barreda, José, 1864-1947	persona	1864	1947			sí	no			sólo desambiguación	colisiona con PER0020
PER0020	Pardo Bazán, Emilia, 1851-1921	persona	1851	1921			no	dedicatoria			sólo desambiguación	fuera del rango cap. VIII-XV; sin ítem en v1.1.0
PER0021	Morgenstern, Lina, 1830-1909	persona	1830	1909	https://www.wikidata.org/wiki/Q66502	Wikidata	no	sí	VIII	concedida	confirmado	
PER0022	Cauer, Minna, 1841-1922	persona	1841	1922	https://www.wikidata.org/wiki/Q75202	Wikidata	no	sí	VIII	concedida	confirmado	
PER0023	Braun, Lily, 1865-1916	persona	1865	1916	https://www.wikidata.org/wiki/Q71372	Wikidata	no	sí	VIII	concedida	confirmado	
PER0024	Raschke, Maria, 1850-1935	persona	1850	1935	https://www.wikidata.org/wiki/Q1522221	Wikidata	no	sí	VIII	concedida	confirmado	
PER0025	Augspurg, Anita, 1857-1943	persona	1857	1943	https://www.wikidata.org/wiki/Q71410	Wikidata	no	sí	VIII	concedida	confirmado	
PER0026	Duncker, Dora, 1855-1916	persona	1855	1916	https://www.wikidata.org/wiki/Q1243601	Wikidata	no	sí	VIII	concedida	confirmado	
PER0027	Mellien, Marie, 1851-	persona	1851	[no disponible]	https://www.wikidata.org/wiki/Q95660421	Wikidata	no	sí	VIII	concedida	confirmado	
PER0028	Broicher, Charlotte	persona	1848	1917	https://www.wikidata.org/wiki/Q95004268	Wikidata	no	sí	VIII	concedida	confirmado	
PER0029	Dyhrenfurth, Gertrud, 1862-1946	persona	1862	1946	https://www.wikidata.org/wiki/Q104449818	Wikidata	no	sí	VIII	no consta	confirmado	Aparece como dihrenfurth
PER0030	Andréas-Salomé, Lou, 1861-1937	persona	1861	1937	https://www.wikidata.org/wiki/Q38873	Wikidata	no	sí	VIII	rechazada	confirmado	
PER0031	Schlieben, condesa de	persona	[no disponible]	[no disponible]			no	sí	VIII	no consta	identificador pendiente	
PER0032	López Housselle, María	persona	[no disponible]	[no disponible]			no	sí	VIII	no consta	identificador pendiente	
