formaLibro,capítulo,entidadÁlbum,idItemAfectado,motivoRechazo
Alice Salomón,VIII: Alemanas,"Salomón Osorio, Alberto, 1877-1959",ZAC-096-recorte1; ZAC-100-recorte2,"apellido compartido, persona distinta"
Elvira García,X: Peruanas,"Pérez García, Darío, 1869-1945",ZAC-011/012-carta; ZAC-225/226-carta,"apellido compartido, persona distinta"
Teresa González,X: Peruanas,"González y Campos, Pedro",ZAC-223/224-postal,"apellido compartido, persona distinta"
María Grimaneza Macías,X: Peruanas,"Macías del Real, Antonio, 1866-19..",ZAC-087-recorte,"apellido compartido, persona distinta"
María Natividad Cortés,X: Peruanas,"Gómez Carrillo, Enrique, 1873-1927",ZAC-178/180-recorte2,"coincidencia en cuerpo de texto, no autoría"
Lola Mora,IX: Argentinas,"Bellido, F. — art. «Fernando Mora»",ZAC-148-recorte4,coincidencia con título de obra
Juliette / Edmond / Marcelle Adam,"XI, XIV, XV",—,ZAC-087-tarjeta; ZAC-212/213-tarjeta2,subcadena dentro de «Madame»
Antonia Moreno de Cáceres,X: Peruanas,"Cáceres, Zoila Aurora, 1872-1958",varios,coincidencia por apellido «Cáceres»
"Pardo Bazán, Emilia",dedicatoria (fuera de VIII-XV),"Pardo y Barreda, José, 1864-1947",ZAC-152/153-carta,"apellido compartido, persona distinta"
Ève Paul-Margueritte,—,"Paul-Margueritte, Lucie, 1886-1955",ZAC-157/158-carta; ZAC-210/211-carta,hermana coautora; sólo la inicial «L.» las distingue
Paul Margueritte (padre),"XII, XIV","Margueritte, Victor, 1866-1942",ZAC-135/136-nota,"hermanos escritores; el álbum documenta a Victor, el libro cita a Paul"
Marcelle Tinayre,XII: Novelistas,[sin ítem en el álbum],—,"presente en el libro; alcanzada por intermediación, sin traza material"
