origen,etiquetaOrigen,ubicaciónTexto,destino,etiquetaDestino,fechaItem,idiomaItem,personaPuente,vínculoÁlbum,afirmación,decisión,notaRevisión
PER0006,"Sala, Alvina van Praet de",,ORG0001,Consejo Nacional de Mujeres de la República Argentina,,,,vinculación institucional,van Praet de Sala dirige el Consejo, , 
TXT0008,Capítulo VIII: Alemanas,871-1127,ZAC-014-carta,Carta de Helene Lange a Zoila Aurora Cáceres,1902-11-18,fra,"Lange, Helene, 1848-1930",correspondencia,El texto se apoya en este ítem, , 
TXT0008,Capítulo VIII: Alemanas,871-1127,ZAC-054/056-carta,Carta de Katharina Zitelmann a Zoila Aurora Cáceres,1902-10-20,fra,"Zitelmann, Katharina, 1844-1926",correspondencia,El texto se apoya en este ítem, , 
TXT0008,Capítulo VIII: Alemanas,871-1127,ZAC-103-tarjeta,Tarjeta de Emma Vely,[no disponible],deu,"Vely, Emma, 1848-1934",correspondencia,El texto se apoya en este ítem, , 
TXT0008,Capítulo VIII: Alemanas,871-1127,ZAC-109/111-carta,Copia editada de artículo sobre Helene Lange y entrevista ep,1896-01-01,deu,"Lange, Helene, 1848-1930",mención documental,El texto se apoya en este ítem, , 
TXT0008,Capítulo VIII: Alemanas,871-1127,ZAC-245/249-carta,Carta de Katharina Zitelmann [entrevista epistolar],[no disponible],deu,"Zitelmann, Katharina, 1844-1926",entrevista epistolar,El texto se apoya en este ítem, , 
TXT0008,Capítulo VIII: Alemanas,871-1127,ZAC-256/258-carta,Carta de Gabriele Reuter a Zoila Aurora Cáceres,[ininteligible],fra,"Reuter, Gabriele, 1859-1941",correspondencia,El texto se apoya en este ítem, , 
TXT0009,Capítulo IX: Argentinas,1128-1181,ZAC-112-carta,Carta del Consejo Nacional de Mujeres de la República Argent,1904-11,spa,Consejo Nacional de Mujeres de la República Argentina,correspondencia,El texto se apoya en este ítem, , 
TXT0009,Capítulo IX: Argentinas,1128-1181,ZAC-220/221-carta,Carta de Alvina v. P. de Sala a Zoila Aurora Cáceres,1903-03-18,spa,"Sala, Alvina van Praet de",correspondencia,El texto se apoya en este ítem, , 
TXT0010,Capítulo X: Peruanas,1182-1357,ZAC-107/108-tarjeta,Tarjeta de María Augusta Arana,1904-09-26,spa,"Arana, María Augusta",correspondencia,El texto se apoya en este ítem, , 
TXT0010,Capítulo X: Peruanas,1182-1357,ZAC-116/117-recorte,Plumas y lápices,[no disponible],spa,"Matto de Turner, Clorinda, 1852-1909",obra recopilada,El texto se apoya en este ítem, , 
TXT0010,Capítulo X: Peruanas,1182-1357,ZAC-121-recorte,Eva Angelina,[no disponible],spa,"Muñoz, Margarita Práxedes, 1862-1909",obra recopilada,El texto se apoya en este ítem, , 
TXT0010,Capítulo X: Peruanas,1182-1357,ZAC-244-recorte,Clorinda Matto de Turner,[no disponible],spa,"Matto de Turner, Clorinda, 1852-1909",mención documental,El texto se apoya en este ítem, , 
TXT0011,La señora Avril de Sainte-Croix,1508-1523,ZAC-135/136-nota,Nota de Victor Margueritte,[no disponible],fra,"Margueritte, Victor, 1866-1942",correspondencia,El texto se apoya en este ítem, , 
TXT0015,Capítulo XV: Literatura femenina,1901-2030,ZAC-157/158-carta,Carta de L. Margueritte a Zoila Aurora Cáceres,[no disponible],fra,"Paul-Margueritte, Lucie, 1886-1955",intermediación,El texto se apoya en este ítem, , 
TXT0015,Capítulo XV: Literatura femenina,1901-2030,ZAC-210/211-carta,Carta de L. Margueritte a Zoila Aurora Cáceres,[no disponible],fra,"Paul-Margueritte, Lucie, 1886-1955",intermediación,El texto se apoya en este ítem, , 
